Name;Version;SPDX short identifier;License
alabaster;1.0.0;BSD-3-Clause;BSD License
argparse-addons;0.12.0;MIT;MIT License
astroid;3.3.11;LGPL-2.1;GNU Lesser General Public License v2 (LGPLv2)
attrs;25.3.0;MIT;MIT License
babel;2.17.0;BSD-3-Clause;BSD License
bitstruct;8.21.0;MIT;MIT License
build;1.3.0;MIT;MIT License
cantools;40.6.0;MIT;MIT License
certifi;2025.8.3;MPL-2.0;Mozilla Public License 2.0 (MPL 2.0)
cfgv;3.4.0;MIT;MIT License
charset-normalizer;3.4.3;MIT;MIT License
clang-format;21.1.1;Apache-2.0;Apache Software License
click;8.3.0;BSD-3-Clause;BSD License
colorama;0.4.6;BSD 3-Clause;BSD License
colorlog;6.9.0;MIT;MIT License
contourpy;1.3.3;BSD 3-Clause;BSD License
coverage;7.10.7;Apache-2.0;Apache Software License
crccheck;1.3.1;MIT;MIT License
cycler;0.12.1;BSD 3-Clause;BSD License
dill;0.4.0;BSD-3-Clause;BSD License
diskcache;5.6.3;Apache 2.0;Apache Software License
distlib;0.4.0;PSF-2.0;Python Software Foundation License
docopt;0.6.2;MIT;MIT License
docutils;0.21.2;BSD-2-Clause,GPL-3.0-or-later,ZPL - 2.1;BSD License, GNU General Public License (GPL), Public Domain, Python Software Foundation License
filelock;3.19.1;Unlicense;The Unlicense (Unlicense)
fonttools;4.60.0;MIT;MIT License
gcovr;8.4;BSD 3-Clause;BSD License
gitdb;4.0.12;BSD 3-Clause;BSD License
GitPython;3.1.45;BSD-3-Clause;BSD License
hatchling;1.27.0;MIT;MIT License
identify;2.6.14;MIT;MIT License
idna;3.10;BSD-3-Clause;BSD License
imagesize;1.4.1;MIT;MIT License
isort;6.0.1;MIT;MIT License
Jinja2;3.1.6;BSD-3-Clause;BSD License
joblib;1.5.2;BSD-3-Clause;BSD License
jsonschema;4.25.1;MIT; MIT License
jsonschema-specifications;2025.9.1;MIT; MIT License
kiwisolver;1.4.9;BSD-3-Clause;BSD License
latexcodec;3.0.1;MIT;MIT License
lauterbach-trace32-rcl;1.1.4;MIT; MIT License
lxml;6.0.2;BSD-3-Clause;BSD License
MarkupSafe;3.0.2;BSD-3-Clause;BSD License
matplotlib;3.10.6;\-;Python Software Foundation License
mccabe;0.7.0;MIT;MIT License
mypy;1.18.2;MIT;MIT License
mypy_extensions;1.1.0;MIT;MIT License
nodeenv;1.9.1;BSD-3-Clause;BSD License
numpy;2.3.3;BSD-3-Clause;BSD License
packaging;25.0;Apache-2.0, BSD-2-Clause;Apache Software License, BSD License
paho-mqtt;2.1.0;EPL-2.0, BSD-3-Clause;Eclipse Public License 2.0, BSD-3-Clause
pandas;2.3.2;BSD-3-Clause;BSD-3-Clause License
pandas-stubs;2.3.2.250827;BSD-3-Clause;BSD License
pathspec;0.12.1;MPL-2.0;Mozilla Public License 2.0 (MPL 2.0)
pillow;11.3.0;HPND;Historical Permission Notice and Disclaimer (HPND)
pipdeptree;2.28.0;MIT;MIT License
platformdirs;4.4.0;MIT;MIT License
pre_commit;4.3.0;MIT;MIT License
pyarrow;21.0.0;Apache-2.0; Apache Software License
pybtex;0.25.1;MIT;MIT License
pybtex-docutils;1.0.3;MIT;MIT License
Pygments;2.19.2;BSD-2-Clause;BSD License
pykwalify;1.8.0;MIT;MIT License
pylint;3.3.8;GPL-2.0;GNU General Public License v2 (GPLv2)
pymodbus;3.4.0;BSD-3-Clause;BSD License
pyparsing;3.2.5;MIT;MIT License
